id,clubId,name,age,bornDate,url
4253,108,Lawrence Ofori,27,28/06/1998,https://www.transfermarkt.es/lawrence-ofori/profil/spieler/536081
4254,108,Sidnei Tavares,23,29/09/2001,https://www.transfermarkt.es/sidnei-tavares/profil/spieler/511813
4255,108,Castro,37,02/04/1988,https://www.transfermarkt.es/castro/profil/spieler/58267
4256,108,Alan,25,08/03/2000,https://www.transfermarkt.es/alan/profil/spieler/428786
4257,108,Ivo Rodrigues,30,30/03/1995,https://www.transfermarkt.es/ivo-rodrigues/profil/spieler/215122
4258,108,Madson,25,26/08/1999,https://www.transfermarkt.es/madson/profil/spieler/554300
4259,108,Benny,27,04/12/1997,https://www.transfermarkt.es/benny/profil/spieler/450790
4260,108,Gabrielzinho,29,29/03/1996,https://www.transfermarkt.es/gabrielzinho/profil/spieler/523850
4261,108,Cedric Teguia,23,01/10/2001,https://www.transfermarkt.es/cedric-teguia/profil/spieler/536831
4262,108,Jeremy Antonisse,23,29/03/2002,https://www.transfermarkt.es/jeremy-antonisse/profil/spieler/594273
4263,108,Joel Jorquera,24,19/08/2000,https://www.transfermarkt.es/joel-jorquera/profil/spieler/633114
4264,108,Pedro Santos,22,10/02/2003,https://www.transfermarkt.es/pedro-santos/profil/spieler/825835
4265,108,Hernâni ,24,03/04/2001,https://www.transfermarkt.es/hernani/profil/spieler/731879
4266,108,Luís Asué,23,09/07/2001,https://www.transfermarkt.es/luis-asue/profil/spieler/702911
4267,108,Guilherme Schettine,29,10/10/1995,https://www.transfermarkt.es/guilherme-schettine/profil/spieler/371245
4268,108,Yan Maranhão,22,13/09/2002,https://www.transfermarkt.es/yan-maranhao/profil/spieler/862568
4269,109,Patrick Sequeira,26,01/03/1999,https://www.transfermarkt.es/patrick-sequeira/profil/spieler/378482
4270,109,Daniel Azevedo,27,12/02/1998,https://www.transfermarkt.es/daniel-azevedo/profil/spieler/383008
4271,109,Ricardo Batista,38,19/11/1986,https://www.transfermarkt.es/ricardo-batista/profil/spieler/24846
4272,109,João Goulart,25,27/01/2000,https://www.transfermarkt.es/joao-goulart/profil/spieler/537477
4273,109,Tchamba ,26,10/07/1998,https://www.transfermarkt.es/tchamba/profil/spieler/490760
4274,109,Ruben Kluivert,24,21/05/2001,https://www.transfermarkt.es/ruben-kluivert/profil/spieler/578421
4275,109,Nermin Zolotić,31,07/07/1993,https://www.transfermarkt.es/nermin-zolotic/profil/spieler/131740
4276,109,Kaly,21,27/11/2003,https://www.transfermarkt.es/kaly/profil/spieler/1241219
4277,109,José Fonte ,41,22/12/1983,https://www.transfermarkt.es/jose-fonte/profil/spieler/33829
4278,109,Isaac Monteiro,21,04/03/2004,https://www.transfermarkt.es/isaac-monteiro/profil/spieler/929867
4279,109,Leonardo Lelo,25,30/03/2000,https://www.transfermarkt.es/leonardo-lelo/profil/spieler/669956
4280,109,Fahem Benaïssa,23,29/04/2002,https://www.transfermarkt.es/fahem-benaissa/profil/spieler/805864
4281,109,Tiago Dias,27,04/05/1998,https://www.transfermarkt.es/tiago-dias/profil/spieler/314886
4282,109,Gaizka Larrazabal,27,17/12/1997,https://www.transfermarkt.es/gaizka-larrazabal/profil/spieler/439465
